"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"MV-NxJ09", "Mike-Luetkemeyer", "2004-02-10", "2005-01-26", "5"
"MVGRQ-PKxJ11", "Tim-Oliver", "2008-01-24", "2009-07-23", "6"
"MVGRQ-PKxJ11", "Ivy-Jernigan", "2004-05-04", "2005-05-12", "5"
"MVGRQ-PKxJ11", "Mark-Moreland", "2006-05-11", "2006-05-11", "1"
"MVGRQ-PKxJ11", "Steve-Roy", "2004-02-19", "2004-02-19", "1"
"MVGRQ-PKxJ11", "Thomas-Johnson", "2006-08-10", "2007-05-11", "3"
"MVK-NxJ06", "Tim-Price", "2005-08-12", "2006-03-23", "3"
"MVK-NxJ06", "Joyce-Schuldt", "2005-07-26", "2006-08-02", "5"
"MVLxA10", "Pam-Boone", "2004-01-22", "2005-04-26", "6"
"MVNR-PKxD15", "Ken-West", "2004-03-02", "2009-08-04", "23"
"MWIV-OxB15", "Terry-Hungle", "2013-12-04", "2013-12-04", "1"
"MWW-NxK16", "Mary-Pat-Thompson", "2006-08-02", "2013-11-07", "30"
"MWW-NxK16", "James-Langrock", "2011-01-27", "2013-11-07", "11"
"MWW-NxK16", "Lanny-Baker", "2005-04-26", "2007-04-26", "9"
"MWW-NxK16", "Michael-Sileck", "2004-02-11", "2005-02-02", "5"
"MWYGQ-PKxF10", "Tim-Yates", "2007-07-30", "2013-02-07", "13"
"MWYGQ-PKxF10", "Ryan-ODesky", "2008-03-06", "2008-11-10", "4"
"MWxB16", "Thomas-Powell", "2004-02-25", "2007-08-02", "13"
"MWxB16", "Diana-Wilson", "2012-09-06", "2013-03-14", "3"
"MWxB16", "Jon-Kimmins", "2013-06-13", "2013-12-12", "3"
"MXIM-OQ", "Neill-Davis", "2004-02-25", "2012-06-06", "33"
"MXIM-OQ", "Alan-Hale", "2004-02-05", "2007-08-02", "4"
